"CFIHOS unique id","CFIHOS name","CFIHOS description","created date","modified date","terminated date","change request number","status","CFIHOS definition file"
"CFIHOS-00000040","engineering status","A phase of the engineering activities","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000041","safety critical item group","A classification of tags according to safety requirements","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000042","ISO currency","A currency, as recognized by the ISO organization in its 4217 standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000043","document status","A status that a document, revision can have during its lifecycle","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000044","ISO language","A language, as recognized by ISO in its 639-1 standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000045","export control classification","A rule that applies to some goods and services when being exported","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000047","project stage","A phase through which a project goes from conception to implementation","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000048","reason for issue","The reason for which transmittals are issued","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000050","tag class equipment class relationship","An equipment class that can be used to implement the function of a tag class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000051","coding source","A system that has similarities to CFIHOS, and has been coding the objects relevant to CFIHOS in a different way","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000052","CFIHOS object equivalent mapping","A code assigned by a coding source to a tag class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000054","document type classification","A classification of document types according to their nature","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000055","requirement standard source","The source that has identified this document requirement and proposed it as a standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000056","asset type","A classification of discipline document types according to the type of asset they refer to","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000057","document representation type","A classification of the documents according to how they should be represented","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000058","document format","A format, or package, that has to be used to provide a given type of document","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000059","document retention period","A duration during which documents of a given type anda given discipline have to be kept","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z","FR3;FR27","TERMINATED","entities"
"CFIHOS-00000060","document review type","A type of review that is required for a document","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000061","source standard","A standard used to define requirements like engineering, operations, etc","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000068","life cycle activity class","A classification of activities in the life cycle of a capital asset","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000069","application condition","A condition under which some document or data requirements have to be applied","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000070","quantitative property","A type of feature that (a) is used to distinguish and describe tags, equipments, models or their class (b) is numeric (c) may have an associated unit of measure","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000071","qualitative property","A type of feature that (a) is used to distinguish and describe  tags, equipments, models or their class (b) may have defined list of values to select from (c) is non-numeric","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000072","unit of measure dimension","A grouping of units of measure that relate to the same kind of quantity","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000073","unit of measure","A unit that qualifies the size of a quantity","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000074","unit of measure synonym","A synonyms that uniquely identifies or represents a unit of measure","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000075","measurement system","A collection of units of measure related to each other","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000078","document revision site reference","A reference to a site that is included in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000079","document revision plant reference","A reference to a plant that is included in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000080","document revision process unit reference","A process unit that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000081","document revision plant area reference","A facility area that is referred to in a document revision.","2021-10-06T17:17:05.556Z","2021-10-14T09:39:51.908Z",,"FR3","STANDARD","entities"
"CFIHOS-00000082","document revision tag reference","A tag that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000083","document revision equipment reference","An equipment that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000084","document revision model part reference","A model part that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000085","document revision purchase order reference","A purchase order that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000086","document revision cross reference","A reference to a document revision in another document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000087","document revision project reference","A project that is referred to in a document revision","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000088","storage media","A type of technology used to store some documents","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000089","tag or equipment class property application condition","A condition that applies to the capture or supply of a tag or equipment class property","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000090","tag or equipment class","A tag class or an equipment class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000091","tag or equipment class synonym","An alternate name used to designate a tag or equipment class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000092","tag or equipment class source standard","A tag or equipment class whose engineering information is documented in a source standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000093","non abstract tag or equipment class","A tag or equipment class that is not marked as abstract","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000094","tag or equipment class property","A characteristic, or property, that a tag or equipment class has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000095","tag or equipment class required discipline document type","A discipline document type that is required to be delivered for a specific tag or equipment class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000096","data type","A classification of data elements according to their nature","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000097","application condition group","A grouping of application conditions, that have all to be satisfied to be able to say the condition group is satisfied.","2021-10-06T17:17:05.556Z","2021-10-14T09:40:21.594Z",,"FR14","STANDARD","entities"
"CFIHOS-00000098","comparison operator","An operator that compares one expression with another","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000099","application condition group member","An application condition that is used as a component, or member of an application condition group","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000100","document and data requirement type","A classification of the document and data requirements according to when / by whom the information is generated","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000101","document and data requirement group","A classification of the document and data requirements according to their nature","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000102","event type","A classification of events that are used as reference in the handover of information for capital facility projects","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000103","submission reference date","A reference date or point in time vs which some actions need to be accomplished","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000104","source standard document and data requirement condition","The application of a given condition to a source standard document and data requirement","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000105","purchase order item","An item on a purchase order","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000106","purchase order item tag","A tag, or part of it, as covered in a purchase order item","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000107","vendor document","A document, originating from a vendor","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000108","purchase order item vendor document and data requirement","A vendor document and data requirement (VDDR) deemed to be appropriate jointly by the purchaser and the vendor for a given purchase order.","2021-10-06T17:17:05.556Z","2021-10-14T09:40:54.998Z",,"FR15","STANDARD","entities"
"CFIHOS-00000109","purchase order item expected event","An event, other than the purchase or the delivery, that needs to be monitored for the delivery of the requirements","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000110","purchase order item for model part","A purchase order item for a model or a part","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000111","purchase order item for bulk","A purchase order item for some goods in bulk","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000112","purchase order item for tag","A purchase order item that refers to one or more tags","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR15","STANDARD","entities"
"CFIHOS-00000113","process class","A classification of the process activities according to the type of action / operation being performed","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000114","process class tag class relationship","A tag class that can be used to implement a process activity belonging to a process class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000115","process class property","A property that should be specified for process activities related to this process class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000116","process activity","A set of actions by which material, energy or information is transformed, transported or stored","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000117","process activity tag relationship","A tag that implements (part of) the functional requirements of a process activity","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000118","process design property","A property that is required by a given process activity","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000119","stream class","A classification of the process streams according to what is being moved","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000120","process stream","A flow of material, energy or information produced by one process activity and consumed by another process activity","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000121","stream class property","A property that should be specified for process streams related to this stream class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000122","process stream property","A property that is required for a process stream","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR43","STANDARD","entities"
"CFIHOS-00000127","process case","A scenario of how processes and streams would perform under some conditions","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR51","STANDARD","entities"
"CFIHOS-00000128","process stream in case","A process stream included in the scope of a case","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR51","STANDARD","entities"
"CFIHOS-00000129","process stream property in case","A process stream property, in the context of a case","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR51","STANDARD","entities"
"CFIHOS-00000130","process activity in case","A process activity included in the scope of a case","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR51","STANDARD","entities"
"CFIHOS-00000131","process property in case","A property of a process activity, in the context of a case","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR51","STANDARD","entities"
"CFIHOS-00000132","source standard document and data requirement","A requirement for document or data, as expressed in a source standard, irrespective of the equipment class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR14","STANDARD","entities"
"CFIHOS-00000133","handover event","A phase, a moment, at which handover of information is taking place","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR27","STANDARD","entities"
"CFIHOS-00000134","discipline document type handover requirement","An indication of the status that a document type should have, if any, at a given handover phase, for a given discipline","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR27","STANDARD","entities"
"CFIHOS-00000135","native file delivery timing","An indication of when the native file should be available","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR27","STANDARD","entities"
"CFIHOS-00000137","deliverable format","A format required to be used by the supplier of information in conformance with JIP33 standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR74","STANDARD","entities"
"CFIHOS-10000001","area code","A code that uniquely identifies the area within the plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000002","area name","A name describing the location of an area within the plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000003","site code","A code that uniquely identifies the site","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000004","site name","A unique name to identify a geographical location","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000005","plant code","A code that uniquely identifies the plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000006","plant name","The full name of the plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000008","process unit name","A name describing the function of the process unit","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000009","commissioning unit code","A code that uniquely identifies the commissioning unit within a plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000010","commissioning unit name","The name by which the commission unit is usually designated","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000013","maintenance unit code","A code that uniquely identifies the maintenance unit at a plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000014","maintenance unit name","The name by which the maintenance unit is usually designated","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000015","maintenance system code","A code that uniquely identifies the maintenance system within a maintenance unit","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000016","maintenance system name","The name by which the maintenance system is usually designated","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000017","maintenance system actual startup date","The date at which the maintenance system has been started for the first time (on a continuous basis)","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000018","corrosion loop code","A code that uniquely identifies the corrosion loop at a plant","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000019","corrosion loop name","The name by which the corrosion loop is usually designated","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000020","corrosion loop description","A description of what the corrosion loop is","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000021","corrosion loop process description","A description of the process performed by the elements of the corrosion loop","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000022","corrosion type description","A description of the expected effects of the corrosion","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000023","corrosion loop type code","The type of corrosion loop that classifies this corrosion loop","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000024","corrosion loop type name","The name by which the corrosion loop type is usually designated","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000025","tag status","An identification of the engineering phase in which the tag is","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000026","tag requisition number","A requisition number that has been placed to acquire the tag","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000027","production critical item indicator","An indication whether the loss of the functionality provided by the tag would have an immediate cost impact, like a loss of production","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000028","safety critical item indicator","An indication whether the tag should be considered as a safety critical element, as per International Standards","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000029","safety critical item group code","A code, as per SDE standards, that uniquely identifies the safety item group","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000030","safety critical item reason awarded","A documentation of the outcome of the SCE assessment","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000031","equipment code","A code used to identify uniquely the equipment.","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000032","equipment actual purchase date","The date at which the equipment was actually purchased","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000033","equipment actual startup date","The date at which the equipment was actually started up","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000035","equipment warranty end date","The date at which the warrant on the equipment will end","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000036","manufacturer indicator","An indicator whether the company is a manufacturer or not","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000037","supplier indicator","An indicator whether the company is a supplier or not","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000038","company contact person","The name of the person to contact in the company","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000039","company contact person function","A description of the role of the contact person within the organization of the company.","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000040","tag class name","The full name of the tag or equipment class","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
"CFIHOS-10000042","abstract class indicator","An indication whether the tag or equipment class is an aggregation of other tag or equipment classes and should not be used for associating properties","2021-10-06T16:45:08.844Z","2021-10-06T16:45:08.844Z",,"FR3","STANDARD","entity attributes"
